Time (s),X (�T),Y (�T),Z (�T)
139.8805368,-11.52668953,34.69903564,-9.833770752
140.2109898,-10.23500633,35.20405579,-8.471221924
140.5414417,-6.48916626,36.40548325,-7.36730957
140.8718947,-2.681545258,37.0763588,-6.507720947
141.2023477,-1.043531418,37.12355804,-7.843688965
141.5327987,11.17246819,33.98861313,-11.16320801
141.8632517,9.825306892,33.40854263,-13.07885742
142.1937047,8.870270729,33.94427109,-12.67611694
142.5241582,9.021598816,33.84843826,-12.72067261
142.8546112,8.973353386,33.85057068,-13.06228638
143.1850642,8.899452209,34.15272141,-12.83300781
143.5155172,8.947573662,34.38361359,-12.6321106
143.8459692,9.302507401,33.9734726,-12.38088989
144.1764222,9.389856339,34.63233948,-12.64746094
144.5068753,8.847862244,34.33992004,-11.85110474
144.8373283,10.04197598,34.35621643,-11.55245972
145.1677813,9.531435966,34.37821579,-11.41671753
145.4982335,8.901551247,34.60364914,-11.56210327
145.8286865,8.569351196,34.68795776,-11.7003479
146.1591395,8.954208374,34.39746475,-11.06253052
146.4895922,9.966109276,33.97779465,-12.30108643
146.8200442,9.340011597,34.03149033,-11.72589111
147.1504972,8.255316734,34.45161057,-11.83532715
147.4809499,8.313257217,34.60082245,-11.53189087
147.8114029,7.410529137,35.19881439,-10.9977417
148.1418549,5.626972198,35.44385147,-9.830627441
148.4723092,4.279994965,35.86164856,-10.51031494
148.8027622,3.139829636,36.07559586,-9.505950928
149.1332142,-1.69927597,36.7834549,-8.288146973
149.4636665,-4.606399536,36.40380478,-8.95703125
149.7941185,-5.991264343,36.28531265,-8.406219482
150.1245715,-4.293813705,36.30400085,-8.012420654
150.4550263,7.963162422,34.43466949,-12.18811035
150.7854793,28.29481125,4.099777222,-23.19110107
151.1159323,21.92940712,3.009933472,-28.72583008
151.4463827,22.12589455,4.354110718,-28.61090088
151.7768357,23.0409565,4.12285614,-28.41122437
152.1072897,23.3850708,4.71219635,-28.04776001
152.4377425,22.23557854,4.064910889,-28.37054443
152.7681955,22.93676186,2.651023865,-28.33578491
153.0986485,23.90147591,2.257949829,-28.08337402
153.429101,24.79735565,1.651771545,-27.36270142
153.759554,23.96725273,4.813728333,-27.39837646
154.090008,24.26082993,4.998527527,-26.12817383
154.4204619,23.57925987,9.949699402,-25.54922485
154.7509159,22.33282852,10.11353302,-26.19464111
155.0813699,23.09552193,9.465744019,-25.79214478
155.4118225,22.72860336,8.974853516,-25.79193115
155.7422765,21.40447617,8.030258179,-26.13354492
156.0727305,21.84504509,9.063011169,-24.98632813
156.4031847,20.13972855,11.02410126,-26.72143555
156.7336397,20.61254692,12.09413147,-25.0333252
157.0640937,19.35908318,13.58075714,-26.92080688
157.3945468,22.13440895,15.79161835,-24.0612793
157.7250008,21.83345604,17.04136658,-25.83831787
158.0554558,23.51126099,16.84082031,-24.92654419
158.3859107,24.6679306,17.12110901,-23.06799316
158.7163647,24.3298912,15.77811432,-24.02816772
159.0468197,23.73330498,17.3274231,-21.37002563
159.3772773,22.83794403,17.95948792,-18.94992065
159.7077313,24.39573097,12.61920166,-18.69366455
160.0381863,23.81129074,16.55832672,-17.45214844
160.3686364,23.48638916,17.84378052,-16.62390137
160.6990914,23.24853897,17.69676208,-18.35284424
161.0295454,22.04222488,19.51848602,-17.72711182
161.3600005,22.61185646,18.80649567,-18.3543396
161.6904555,21.02069283,20.71733093,-18.83996582
162.0209105,18.91895294,20.66934967,-22.55847168
162.3513692,11.3863287,11.2019577,-31.17315674
162.6818232,0.702518463,-8.598480225,-35.76412964
163.0122782,-5.847408295,-8.505027771,-35.66616821
163.3427297,-2.79621315,-9.673149109,-36.67556763
163.6731847,4.384817123,-10.84010315,-36.13375854
164.0036397,19.01605034,-8.378509521,-31.43359375
164.334095,13.59550762,-22.05172729,-27.20376587
164.664551,11.98126316,-28.78844452,-21.36749268
164.995006,4.951745987,-30.99440765,-21.3704834
165.3254608,-11.01507759,-29.4455719,-21.85501099
165.6559168,-13.22282219,-33.58407593,-13.63336182
165.9863718,-8.77331543,-24.9549942,-25.31488037
166.3168317,-7.397899628,-18.6075592,-29.74795532
166.6472867,-18.35753822,-19.4903183,-24.73117065
166.9777427,-21.35923958,-16.17033386,-23.32446289
167.3081942,-17.46154213,-17.55207825,-26.04818726
167.6386502,-13.91578484,-15.13171387,-29.50463867
167.9691052,-9.080587387,-19.66291809,-30.4022522
168.2995642,-10.00066185,-18.01924133,-29.61239624
168.6300192,-7.978464127,-20.68901062,-29.00796509
168.9604742,-9.985086441,-25.33706665,-24.85467529
169.2909262,-10.53427315,-27.95174408,-21.78421021
169.6213812,-8.723566055,-29.08760071,-22.03845215
169.9518362,-9.697263718,-28.55348969,-22.3659668
170.2822905,-11.09575844,-28.12372589,-21.85671997
170.6127455,-10.6874485,-27.37800598,-22.94512939
170.9432005,-11.25260735,-27.14624023,-22.71102905
171.2736593,-11.17849159,-27.06812286,-23.55578613
171.6041143,-11.24497414,-27.23646545,-22.53262329
171.9345693,-10.69983482,-27.35749817,-23.91595459
