Time (s),X (µT),Y (µT),Z (µT)
75.60201563,-39.97623444,5.581764221,17.08319092
75.93247404,-40.41636658,1.687416077,15.74627686
76.26293104,-41.06544495,2.470237732,13.78344727
76.59338804,-39.49098206,-5.083839417,19.82049561
76.92384425,-37.36296082,-5.862167358,22.87744141
77.25430125,-36.11156464,-7.893478394,24.85067749
77.58475725,-35.43834686,-13.50686646,22.1812439
77.91521442,-34.87669373,-16.21085358,19.97622681
78.24567142,-36.13198853,-15.30786133,19.08569336
78.57612742,-35.90854645,-16.17877197,19.1796875
78.90658463,-35.28404236,-15.68566132,20.16516113
79.23704063,-35.2853241,-16.40789032,19.48010254
79.56749763,-35.47222137,-16.38494873,18.72601318
79.89795325,-36.70787811,-16.34307861,14.11810303
80.22840925,-36.63301086,-16.90426636,13.09454346
80.55886625,-37.66233063,-14.34928131,13.68435669
80.889322,-34.64076996,-17.47219849,19.18731689
81.219779,-29.30942726,-25.66999054,17.20980835
81.550235,-28.35742378,-28.28379059,14.17303467
81.88069238,-29.50758171,-26.73381042,16.41213989
82.21114838,-29.71076775,-26.86434174,13.22171021
82.54160538,-30.92361641,-25.95698547,11.31716919
82.8720645,-32.30157471,-24.03660583,10.9850769
83.2025205,-31.31175041,-25.26205444,12.3097229
83.5329775,-33.14514923,19.5426178,11.06884766
83.86343025,-19.93882561,32.54756546,3.737457275
84.19388625,-22.13941383,31.38592529,4.324523926
84.52434325,-22.07213402,31.18535614,2.576141357
84.854801,-21.11362648,31.46753693,1.338165283
85.185257,-20.32208443,32.44609451,1.887420654
85.515714,-18.823843,32.95607758,0.093811035
85.84616925,-20.90323448,29.41183472,16.97079468
86.17662525,-23.70002937,21.93341064,27.17807007
86.50708125,-21.35864449,23.75762177,27.11672974
86.83753729,-21.73108101,24.63654327,26.6824646
87.16799329,-24.65574837,21.68102264,26.68011475
87.49844929,-30.34396172,14.88703918,25.92816162
87.82891075,-33.18213654,8.503395081,25.0352478
88.15936675,-35.52310181,6.650192261,20.64624023
88.48982275,-38.50884247,5.006103516,13.32641602
88.82027488,-38.7254715,6.367347717,10.75164795
89.15073088,-38.42800903,4.520584106,13.30377197
89.48118788,-38.98274231,3.881721497,12.7880249
89.811644,-38.83100128,-2.160232544,12.49136353
90.1421,-37.3780365,-10.83906555,5.354492188
